Date-LocalTime,Voltage(V),Current(A),Inductance(H),dI/dt,Resistance(Ohms),ADR temp
2017-08-11 13:23:27.419000,-0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:23:30.147000,-0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:23:32.875000,0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:23:35.604000,0.01,0.2239,16,0,0.04466279589102278,-1.0
2017-08-11 13:23:38.333000,0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:23:41.064000,-0.0,0.2237,16,0,0.0,-1.0
2017-08-11 13:23:43.791000,-0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:23:46.518000,0.01,0.2238,16,0,0.044682752457551385,-1.0
2017-08-11 13:23:49.357000,0.0,0.2237,16,0,0.0,-1.0
2017-08-11 13:23:52.085000,0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:23:54.813000,0.01,0.2237,16,0,0.044702726866338846,-1.0
2017-08-11 13:23:57.541000,0.01,0.2238,16,0,0.044682752457551385,-1.0
2017-08-11 13:24:00.270000,0.01,0.2238,16,0,0.044682752457551385,-1.0
2017-08-11 13:24:03,0.01,0.2238,16,0,0.044682752457551385,-1.0
2017-08-11 13:24:05.729000,0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:24:08.457000,0.01,0.2238,16,0,0.044682752457551385,-1.0
2017-08-11 13:24:11.187000,0.01,0.2238,16,0,0.044682752457551385,-1.0
2017-08-11 13:24:13.916000,0.0,0.2237,16,0,0.0,-1.0
2017-08-11 13:24:16.643000,0.01,0.2238,16,0,0.044682752457551385,-1.0
2017-08-11 13:24:19.370000,0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:24:22.102000,0.0,0.2237,16,0,0.0,-1.0
2017-08-11 13:24:24.831000,-0.01,0.2237,16,0,-0.044702726866338846,-1.0
2017-08-11 13:24:27.561000,0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:24:30.289000,-0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:24:33.022000,0.0,0.2237,16,0,0.0,-1.0
