Date-LocalTime,Voltage(V),Current(A),Inductance(H),dI/dt,Resistance(Ohms),ADR temp
2017-08-14 13:05:59.192000,-0.02,9.1957,16,0.008333333333333333,0,1.1644596720620946
2017-08-14 13:06:03.043000,0.04,9.1779,16,0.004166666666666667,0,1.157063465922169
2017-08-14 13:06:06.983000,0.04,9.1619,16,0.004166666666666667,0,1.1562416652399554
2017-08-14 13:06:10.914000,0.04,9.1455,16,0.004166666666666667,0,1.1603506686510252
2017-08-14 13:06:14.850000,0.03,9.1292,16,0.004166666666666667,0,1.1513108611466711
2017-08-14 13:06:18.785000,0.04,9.1127,16,0.004166666666666667,0,1.1537762631933135
2017-08-14 13:06:22.713000,0.03,9.0963,16,0.004166666666666667,0,1.1489333530871839
2017-08-14 13:06:26.655000,0.04,9.0799,16,0.004166666666666667,0,1.1481741152285196
2017-08-14 13:06:30.692000,0.04,9.0631,16,0.004166666666666667,0,1.1466556395111922
2017-08-14 13:06:34.632000,0.04,9.0467,16,0.004166666666666667,0,1.1443779259352005
2017-08-14 13:06:38.561000,0.04,9.0303,16,0.004166666666666667,0,1.1421002123592083
2017-08-14 13:06:42.503000,0.03,9.0138,16,0.004166666666666667,0,1.1474148773698565
2017-08-14 13:06:46.433000,0.04,8.9975,16,0.004166666666666667,0,1.1466556395111922
2017-08-14 13:06:50.362000,0.04,8.9812,16,0.004166666666666667,0,1.1466556395111922
2017-08-14 13:06:54.304000,0.04,8.9647,16,0.004166666666666667,0,1.139063260924553
2017-08-14 13:06:58.233000,0.03,8.9483,16,0.004166666666666667,0,1.1383040230658892
2017-08-14 13:07:02.176000,0.04,8.932,16,0.004166666666666667,0,1.1352670716312336
2017-08-14 13:07:06.101000,0.03,8.9156,16,0.004166666666666667,0,1.1337485959139058
2017-08-14 13:07:10.042000,0.04,8.8992,16,0.004166666666666667,0,1.1329893580552417
2017-08-14 13:07:13.970000,0.04,8.8828,16,0.004166666666666667,0,1.1345078337725696
2017-08-14 13:07:17.901000,0.03,8.8664,16,0.004166666666666667,0,1.131470882337914
2017-08-14 13:07:21.839000,0.04,8.8499,16,0.004166666666666667,0,1.1299524066205862
2017-08-14 13:07:25.767000,0.04,8.8337,16,0.004166666666666667,0,-1.0
2017-08-14 13:07:29.705000,0.03,8.8172,16,0.004166666666666667,0,-1.0
2017-08-14 13:07:33.634000,0.04,8.8008,16,0.004166666666666667,0,-1.0
2017-08-14 13:07:37.575000,0.03,8.7844,16,0.004166666666666667,0,1.1269154551859304
2017-08-14 13:07:41.504000,0.03,8.7681,16,0.004166666666666667,0,1.1261562173272666
2017-08-14 13:07:45.433000,0.03,8.7517,16,0.004166666666666667,0,1.123119265892611
2017-08-14 13:07:49.369000,0.03,8.7352,16,0.004166666666666667,0,1.1216007901752831
2017-08-14 13:07:53.297000,0.03,8.7188,16,0.004166666666666667,0,1.1200823144579553
2017-08-14 13:07:57.238000,0.03,8.7025,16,0.004166666666666667,0,1.1162861251646357
2017-08-14 13:08:01.164000,0.03,8.6861,16,0.004166666666666667,0,-1.0
2017-08-14 13:08:05.109000,0.03,8.6698,16,0.004166666666666667,0,1.1162861251646357
2017-08-14 13:08:09.036000,0.03,8.6533,16,0.004166666666666667,0,1.1155268873059718
2017-08-14 13:08:12.971000,0.05,8.637,16,0.004166666666666667,0,1.1132491737299801
2017-08-14 13:08:16.902000,0.03,8.6205,16,0.004166666666666667,0,-1.0
2017-08-14 13:08:20.826000,0.03,8.6041,16,0.004166666666666667,0,1.1109714601539884
2017-08-14 13:08:24.767000,0.03,8.5877,16,0.004166666666666667,0,1.1094529844366605
2017-08-14 13:08:28.693000,0.04,8.5714,16,0.004166666666666667,0,-1.0
2017-08-14 13:08:32.630000,0.03,8.5551,16,0.004166666666666667,0,1.1102122222953243
2017-08-14 13:08:36.557000,0.03,8.5387,16,0.004166666666666667,0,-1.0
2017-08-14 13:08:40.500000,0.03,8.5222,16,0.004166666666666667,0,1.1018606058500213
2017-08-14 13:08:44.430000,0.04,8.5059,16,0.004166666666666667,0,-1.0
2017-08-14 13:08:48.359000,0.03,8.4895,16,0.004166666666666667,0,1.0961200175843602
2017-08-14 13:08:52.299000,0.03,8.473,16,0.004166666666666667,0,1.1026198437086854
2017-08-14 13:08:56.225000,0.03,8.4567,16,0.004166666666666667,0,1.0961200175843602
2017-08-14 13:09:00.163000,0.03,8.4403,16,0.004166666666666667,0,1.1003421301326934
2017-08-14 13:09:04.087000,0.03,8.4239,16,0.004166666666666667,0,-1.0
2017-08-14 13:09:08.029000,0.04,8.4075,16,0.004166666666666667,0,1.0947216687248249
2017-08-14 13:09:11.959000,0.02,8.3911,16,0.004166666666666667,0,1.0905266221462186
2017-08-14 13:09:15.884000,0.02,8.3747,16,0.004166666666666667,0,1.0912257965759864
2017-08-14 13:09:19.828000,0.03,8.3584,16,0.004166666666666667,0,1.0898274477164509
2017-08-14 13:09:23.754000,0.03,8.3419,16,0.004166666666666667,0,1.0877299244271477
2017-08-14 13:09:27.694000,0.03,8.3256,16,0.004166666666666667,0,1.0884290988569154
2017-08-14 13:09:31.622000,0.02,8.3091,16,0.004166666666666667,0,1.0891282732866832
2017-08-14 13:09:35.566000,0.03,8.2928,16,0.004166666666666667,0,1.0849332267080769
2017-08-14 13:09:39.493000,0.03,8.2764,16,0.004166666666666667,0,1.0828357034187739
2017-08-14 13:09:43.314000,0.02,8.2605,16,0.004166666666666667,0,1.0786406568401676
2017-08-14 13:09:47.255000,0.03,8.2441,16,0.004166666666666667,0,1.0814373545592384
2017-08-14 13:09:51.182000,0.03,8.2277,16,0.004166666666666667,0,1.0821365289890061
2017-08-14 13:09:55.126000,0.02,8.2112,16,0.004166666666666667,0,-1.0
2017-08-14 13:09:59.054000,0.03,8.1949,16,0.004166666666666667,0,-1.0
2017-08-14 13:10:02.997000,0.03,8.1785,16,0.004166666666666667,0,1.0737464358317936
2017-08-14 13:10:06.922000,0.02,8.1621,16,0.004166666666666667,0,-1.0
2017-08-14 13:10:10.850000,0.03,8.1458,16,0.004166666666666667,0,1.0716489125424906
2017-08-14 13:10:14.791000,0.02,8.1292,16,0.004166666666666667,0,1.0723480869722584
2017-08-14 13:10:18.715000,0.03,8.113,16,0.004166666666666667,0,1.0667546915341166
2017-08-14 13:10:22.658000,0.03,8.0966,16,0.004166666666666667,0,1.0667546915341166
2017-08-14 13:10:26.586000,0.03,8.0802,16,0.004166666666666667,0,-1.0
2017-08-14 13:10:30.528000,0.03,8.0637,16,0.004166666666666667,0,1.0653563426745813
2017-08-14 13:10:34.454000,0.03,8.0474,16,0.004166666666666667,0,1.0646571682448136
2017-08-14 13:10:38.385000,0.02,8.031,16,0.004166666666666667,0,1.0618604705257428
2017-08-14 13:10:42.324000,0.03,8.0146,16,0.004166666666666667,0,-1.0
2017-08-14 13:10:46.254000,0.03,7.9981,16,0.004166666666666667,0,-1.0
