Date-LocalTime,Voltage(V),Current(A),Inductance(H),dI/dt,Resistance(Ohms),ADR temp
2017-08-14 15:06:56.236000,-0.0,-0.0,16,0,0,0.054998799163611362
2017-08-14 15:07:00.195000,-0.06,-0.0139,16,0.00016666666666666666,0,0.054959224041319567
2017-08-14 15:07:04.157000,-0.02,-0.0142,16,0.00016666666666666666,0,0.055030549397730916
2017-08-14 15:07:08.098000,0.01,-0.0134,16,0.00016666666666666666,0,-1.0
2017-08-14 15:07:12.034000,0.0,-0.0127,16,0.00016666666666666666,0,0.055120681552480968
2017-08-14 15:07:16.096000,0.01,-0.012,16,0.00016666666666666666,0,0.055161703238296701
2017-08-14 15:07:20.172000,0.0,-0.0114,16,0.00016666666666666666,0,0.055218902490349622
2017-08-14 15:07:24.123000,0.01,-0.0106,16,0.00016666666666666666,0,0.055165747629856002
2017-08-14 15:07:28.071000,0.01,-0.01,16,0.00016666666666666666,0,-1.0
2017-08-14 15:07:32.013000,0.01,-0.0093,16,0.00016666666666666666,0,-1.0
2017-08-14 15:07:35.942000,0.0,-0.0087,16,0.00016666666666666666,0,0.055322901130445835
2017-08-14 15:07:39.901000,0.01,-0.0079,16,0.00016666666666666666,0,-1.0
2017-08-14 15:07:43.825000,-0.0,-0.0073,16,0.00016666666666666666,0,0.055289390457525948
2017-08-14 15:07:47.783000,0.0,-0.0067,16,0.00016666666666666666,0,-1.0
2017-08-14 15:07:51.708000,0.01,-0.0061,16,0.00016666666666666666,0,0.055290545997971459
2017-08-14 15:07:55.658000,0.0,-0.0053,16,0.00016666666666666666,0,0.055288812687303186
2017-08-14 15:07:59.609000,0.01,-0.0048,16,0.00016666666666666666,0,0.055174991953420106
2017-08-14 15:08:03.558000,0.01,-0.0041,16,0.00016666666666666666,0,0.055147258982727779
2017-08-14 15:08:07.521000,0.0,-0.0035,16,0.00016666666666666666,0,0.055050193585304642
2017-08-14 15:08:11.464000,0.0,-0.0027,16,0.00016666666666666666,0,0.055137436888940919
2017-08-14 15:08:15.424000,-0.0,-0.0022,16,0.00016666666666666666,0,0.055192325060102812
2017-08-14 15:08:19.378000,0.01,-0.0014,16,0.00016666666666666666,0,-1.0
2017-08-14 15:08:23.315000,0.0,-0.0007,16,0.00016666666666666666,0,0.05529690147042178
2017-08-14 15:08:27.259000,0.01,-0.0001,16,0.00016666666666666666,0,-1.0
2017-08-14 15:08:31.078000,0.0,0.0005,16,0.00016666666666666666,0,0.055356411803365729
2017-08-14 15:08:35.036000,0.01,0.0011,16,0.00016666666666666666,0,0.055505476520836976
2017-08-14 15:08:38.981000,0.01,0.0018,16,0.00016666666666666666,0,0.055583475500909141
2017-08-14 15:08:42.937000,0.0,0.0025,16,0.00016666666666666666,0,0.055352945182029191
2017-08-14 15:08:46.878000,-0.0,0.0031,16,0.00016666666666666666,0,0.05541245551497314
2017-08-14 15:08:50.845000,0.01,0.0037,16,0.00016666666666666666,0,0.055246057690819188
2017-08-14 15:08:54.789000,0.0,0.0045,16,0.00016666666666666666,0,0.055194058370771078
2017-08-14 15:08:58.742000,0.01,0.0052,16,0.00016666666666666666,0,0.055439610715442705
2017-08-14 15:09:02.691000,0.0,0.0057,16,0.00016666666666666666,0,0.055396277948735945
2017-08-14 15:09:06.640000,0.0,0.0065,16,0.00016666666666666666,0,0.055504898750614221
2017-08-14 15:09:10.598000,0.0,0.007,16,0.00016666666666666666,0,-1.0
2017-08-14 15:09:14.526000,-0.0,0.0078,16,0.00016666666666666666,0,-1.0
2017-08-14 15:09:18.576000,-0.01,0.0083,16,0.00016666666666666666,0,0.055555742530216813
2017-08-14 15:09:22.522000,0.01,0.0091,16,0.00016666666666666666,0,0.055581164420018113
2017-08-14 15:09:26.476000,0.01,0.0097,16,0.00016666666666666666,0,0.055643563604075845
2017-08-14 15:09:30.420000,0.01,0.0103,16,0.00016666666666666666,0,0.0556695632640999
2017-08-14 15:09:34.360000,0.0,0.0111,16,0.00016666666666666666,0,0.057458339873754843
2017-08-14 15:09:38.316000,-0.0,0.0117,16,0.00016666666666666666,0,-1.0
2017-08-14 15:09:42.350000,0.0,0.0124,16,0.00016666666666666666,0,0.057610871212562628
2017-08-14 15:09:46.303000,0.0,0.013,16,0.00016666666666666666,0,-1.0
2017-08-14 15:09:50.232000,0.0,0.0137,16,0.00016666666666666666,0,-1.0
2017-08-14 15:09:54.279000,0.0,0.0144,16,0.00016666666666666666,0,0.055922048851444604
2017-08-14 15:09:58.232000,0.01,0.015,16,0.00016666666666666666,0,0.056472663873731802
2017-08-14 15:10:02.189000,0.01,0.0157,16,0.00016666666666666666,0,0.057796913224290307
2017-08-14 15:10:06.133000,0.0,0.0163,16,0.00016666666666666666,0,0.057690603503303066
2017-08-14 15:10:10.081000,-0.0,0.0169,16,0.00016666666666666666,0,0.057664603843279011
2017-08-14 15:10:14.035000,0.01,0.0177,16,0.00016666666666666666,0,0.05822157433801653
2017-08-14 15:10:18.732000,0.01,0.0178,16,0,0,0.056691638788156619
2017-08-14 15:10:22.677000,-0.0,0.0182,16,0.00016666666666666666,0,-1.0
2017-08-14 15:10:26.613000,0.0,0.0188,16,0.00016666666666666666,0,0.056484219278186934
2017-08-14 15:10:30.563000,0.0,0.0195,16,0.00016666666666666666,0,0.056591684539619699
2017-08-14 15:10:34.513000,0.01,0.0202,16,0.00016666666666666666,0,-1.0
2017-08-14 15:10:38.450000,0.01,0.0209,16,0.00016666666666666666,0,0.056691638788156619
2017-08-14 15:10:42.400000,0.0,0.0214,16,0.00016666666666666666,0,-1.0
2017-08-14 15:10:46.339000,0.0,0.0221,16,0.00016666666666666666,0,0.056784659794020455
2017-08-14 15:10:50.282000,-0.0,0.0228,16,0.00016666666666666666,0,0.056873058638102242
2017-08-14 15:10:54.239000,-0.0,0.0234,16,0.00016666666666666666,0,0.056870169786988459
2017-08-14 15:10:58.184000,0.0,0.0239,16,0.00016666666666666666,0,0.056983412750648783
2017-08-14 15:11:02.138000,0.01,0.0247,16,0.00016666666666666666,0,0.057001323627554244
2017-08-14 15:11:06.107000,0.01,0.0254,16,0.00016666666666666666,0,-1.0
2017-08-14 15:11:10.036000,0.0,0.026,16,0.00016666666666666666,0,0.057245720431780354
2017-08-14 15:11:13.992000,0.0,0.0267,16,0.00016666666666666666,0,0.057280386645145759
2017-08-14 15:11:17.938000,0.0,0.0274,16,0.00016666666666666666,0,0.057348563531431057
2017-08-14 15:11:21.895000,0.01,0.0281,16,0.00016666666666666666,0,-1.0
2017-08-14 15:11:25.824000,0.0,0.0286,16,0.00016666666666666666,0,-1.0
2017-08-14 15:11:29.758000,0.0,0.0293,16,0.00016666666666666666,0,0.058152241911285721
2017-08-14 15:11:34.448000,-0.0,0.0295,16,0,0,0.057799224305181335
2017-08-14 15:11:38.404000,0.0,0.0299,16,0.00016666666666666666,0,0.057744336134019442
2017-08-14 15:11:42.352000,0.01,0.0305,16,0.00016666666666666666,0,-1.0
2017-08-14 15:11:46.287000,0.0,0.0312,16,0.00016666666666666666,0,0.057562916284073819
2017-08-14 15:11:50.234000,0.0,0.0319,16,0.00016666666666666666,0,0.057643226345037012
2017-08-14 15:11:54.178000,0.01,0.0325,16,0.00016666666666666666,0,0.05775069160646977
2017-08-14 15:11:58.136000,0.0,0.0332,16,0.00016666666666666666,0,-1.0
2017-08-14 15:12:02.060000,-0.0,0.0339,16,0.00016666666666666666,0,0.057823490654537124
2017-08-14 15:12:06.020000,-0.0,0.0344,16,0.00016666666666666666,0,0.057905534026168583
2017-08-14 15:12:09.966000,0.0,0.0351,16,0.00016666666666666666,0,0.057967355440003553
2017-08-14 15:12:13.925000,0.0,0.0358,16,0.00016666666666666666,0,0.058114109076583771
2017-08-14 15:12:18.610000,0.01,0.036,16,0,0,0.058275884738955668
2017-08-14 15:12:23.305000,0.0,0.036,16,0,0,-1.0
2017-08-14 15:12:27.010000,-0.01,0.036,16,0,0,-1.0
2017-08-14 15:12:30.728000,0.0,0.036,16,0,0,0.058355039259473343
2017-08-14 15:12:35.414000,0.01,0.0358,16,0,0,0.058324417437667239
2017-08-14 15:12:40.110000,0.01,0.0358,16,0,0,0.058279929130514968
2017-08-14 15:12:44.809000,-0.0,0.0358,16,0,0,0.058297840007420422
2017-08-14 15:12:49.505000,-0.0,0.0358,16,0,0,0.058266640415391563
2017-08-14 15:12:54.191000,0.0,0.0358,16,0,0,-1.0
2017-08-14 15:12:57.911000,-0.0,0.0356,16,0,0,-1.0
2017-08-14 15:13:01.619000,0.01,0.0358,16,0,0,-1.0
2017-08-14 15:13:05.324000,0.01,0.0358,16,0,0,0.058244685146926801
2017-08-14 15:13:10.017000,0.0,0.0358,16,0,0,0.05829032899452459
2017-08-14 15:13:14.716000,-0.0,0.0356,16,0,0,-1.0
2017-08-14 15:13:18.422000,0.0,0.0357,16,0,0,0.058405883039075943
2017-08-14 15:13:23.119000,0.0,0.0357,16,0,0,-1.0
2017-08-14 15:13:26.826000,-0.0,0.0356,16,0,0,0.05859539167214016
2017-08-14 15:13:31.526000,-0.0,0.0356,16,0,0,0.058492548572489457
2017-08-14 15:13:36.224000,0.01,0.0356,16,0,0,0.058402416417739397
2017-08-14 15:13:40.907000,-0.01,0.0356,16,0,0,0.058405883039075943
2017-08-14 15:13:45.604000,0.01,0.0356,16,0,0,0.05830015108831145
2017-08-14 15:13:50.298000,-0.0,0.0356,16,0,0,0.058383350000388426
2017-08-14 15:13:54.983000,0.0,0.0357,16,0,0,0.058404727498630425
2017-08-14 15:13:59.679000,0.0,0.0355,16,0,0,-1.0
2017-08-14 15:14:03.392000,0.0,0.0355,16,0,0,0.058227352040244103
2017-08-14 15:14:08.086000,0.01,0.0354,16,0,0,0.058215218865566208
2017-08-14 15:14:12.783000,-0.0,0.0354,16,0,0,0.058299573318088695
2017-08-14 15:14:17.482000,-0.0,0.0354,16,0,0,0.058307084330984534
2017-08-14 15:14:22.170000,0.01,0.0355,16,0,0,0.058263751564277773
2017-08-14 15:14:26.864000,0.0,0.0354,16,0,0,0.058302462169202478
2017-08-14 15:14:31.562000,0.0,0.0353,16,0,0,0.058319217505662428
2017-08-14 15:14:36.253000,-0.0,0.0352,16,0,0,-1.0
2017-08-14 15:14:39.970000,0.01,0.0354,16,0,0,-1.0
2017-08-14 15:14:43.679000,0.01,0.0353,16,0,0,0.058229085350912368
2017-08-14 15:14:48.377000,0.0,0.0353,16,0,0,-1.0
2017-08-14 15:14:52.085000,-0.01,0.0353,16,0,0,0.05813433103438026
2017-08-14 15:14:56.781000,0.01,0.0353,16,0,0,0.058241796295813018
2017-08-14 15:15:01.476000,-0.0,0.0352,16,0,0,0.058289173454079073
2017-08-14 15:15:06.161000,0.0,0.0352,16,0,0,0.058293217845638373
2017-08-14 15:15:10.857000,0.01,0.0352,16,0,0,0.058216374406011719
2017-08-14 15:15:15.552000,-0.0,0.0353,16,0,0,0.058249307308708857
2017-08-14 15:15:20.241000,0.0,0.0351,16,0,0,0.058435927090659291
2017-08-14 15:15:24.933000,0.0,0.0352,16,0,0,0.05822561872957583
