Date-LocalTime,Voltage(V),Current(A),Inductance(H),dI/dt,Resistance(Ohms),ADR temp
2017-08-11 13:26:49.333000,0.0,0.2237,16,0,0.0,0.068927723239881888
2017-08-11 13:26:53.052000,-0.0,0.2238,16,0,0.0,0.068825122160994401
2017-08-11 13:26:56.760000,0.01,0.2238,16,0,0.044682752457551385,0.068830102795891843
2017-08-11 13:27:00.467000,0.0,0.2238,16,0,0.0,-1.0
2017-08-11 13:27:03.195000,0.01,0.2238,16,0,0.044682752457551385,0.068808188002343063
2017-08-11 13:27:07.019000,0.01,0.2238,16,0,0.044682752457551385,0.068857994351317578
2017-08-11 13:27:10.725000,0.01,0.2237,16,0,0.044702726866338846,0.068817153145158474
2017-08-11 13:27:14.442000,0.0,0.2237,16,0,0.0,-1.0
2017-08-11 13:27:17.168000,0.01,0.2237,16,0,0.044702726866338846,0.068984502477712817
2017-08-11 13:27:20.882000,-0.0,0.2237,16,0,0.0,0.068924734858943418
2017-08-11 13:27:24.589000,0.01,0.2239,16,0,0.04466279589102278,0.068917761970086977
2017-08-11 13:27:28.308000,0.01,0.2238,16,0,0.044682752457551385,0.068921746478004947
