Date-LocalTime,Voltage(V),Current(A),Inductance(H),dI/dt,Resistance(Ohms),ADR temp
2017-08-10 15:33:18.457000,-0.01,0.0,16,0.008333333333333333,0,-1.0
2017-08-10 15:33:19.456000,0.0,0.0002,16,0.008333333333333333,-666.6666666666666,-1.0
2017-08-10 15:33:20.446000,0.03,0.0041,16,0.008333333333333333,-25.20325203252032,1.1299524066205862
2017-08-10 15:33:21.423000,0.05,0.0107,16,0.008333333333333333,-7.78816199376947,1.1284339309032583
2017-08-10 15:33:22.406000,0.09,0.0185,16,0.008333333333333333,-2.3423423423423424,1.1276746930445944
2017-08-10 15:33:23.286000,0.1,0.026,16,0.008333333333333333,-1.2820512820512817,1.1322301201965779
2017-08-10 15:33:24.160000,0.1,0.0333,16,0.008333333333333333,-1.0010010010010006,-1.0
2017-08-10 15:33:25.136000,0.11,0.0414,16,0.008333333333333333,-0.5636070853462157,1.1337485959139058
2017-08-10 15:33:26.126000,0.11,0.0497,16,0.008333333333333333,-0.4694835680751173,-1.0
2017-08-10 15:33:27.108000,0.11,0.058,16,0.008333333333333333,-0.4022988505747126,-1.0
2017-08-10 15:33:27.986000,0.12,0.0651,16,0.008333333333333333,-0.2048131080389145,-1.0
2017-08-10 15:33:28.867000,0.12,0.0726,16,0.008333333333333333,-0.1836547291092746,1.1352670716312336
2017-08-10 15:33:29.837000,0.11,0.0808,16,0.008333333333333333,-0.2887788778877888,1.1367855473485613
2017-08-10 15:33:30.827000,0.12,0.0889,16,0.008333333333333333,-0.14998125234345708,-1.0
2017-08-10 15:33:31.812000,0.12,0.0971,16,0.008333333333333333,-0.13731548232063168,1.1413409745005452
2017-08-10 15:33:32.797000,0.1,0.1053,16,0.008333333333333333,-0.3165558721114276,1.1421002123592083
2017-08-10 15:33:33.677000,0.11,0.1126,16,0.008333333333333333,-0.2072232089994079,-1.0
2017-08-10 15:33:34.653000,0.12,0.1209,16,0.008333333333333333,-0.11028398125172321,-1.0
2017-08-10 15:33:35.637000,0.11,0.129,16,0.008333333333333333,-0.1808785529715762,1.1545980638755267
2017-08-10 15:33:36.630000,0.1,0.1372,16,0.008333333333333333,-0.2429543245869776,1.1636378713798805
2017-08-10 15:33:37.609000,0.11,0.1454,16,0.008333333333333333,-0.16047684548372304,1.1734994795664484
2017-08-10 15:33:38.587000,0.11,0.1535,16,0.008333333333333333,-0.1520086862106406,-1.0
2017-08-10 15:33:39.469000,0.12,0.1608,16,0.008333333333333333,-0.08291873963515756,-1.0
2017-08-10 15:33:40.447000,0.12,0.1691,16,0.008333333333333333,-0.07884880741178792,1.187470091164085
2017-08-10 15:33:41.427000,0.12,0.1772,16,0.008333333333333333,-0.07524454477050416,1.1940444966217967
2017-08-10 15:33:42.416000,0.11,0.1855,16,0.008333333333333333,-0.12578616352201258,-1.0
